single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.625,0.1763,12,4,20,0.6794760820161394
0.625,0.2031,12,4,20,0.6421828586007691
0.625,0.234,12,4,20,0.6482526116412517
0.625,0.2697,12,4,20,0.5747414320898439
0.625,0.3107,12,4,20,0.5573972408667808
0.625,0.358,12,4,20,0.5706363433130908
0.625,0.4125,12,4,20,0.6010015672556142
0.625,0.4754,12,4,20,0.5641858841727231
0.625,0.5477,12,4,20,0.5534619100318373
0.625,0.6311,12,4,20,0.5508808514364242
0.625,0.7272,12,4,20,0.5034701069986147
0.625,0.8379,12,4,20,0.5540706804472356
0.625,0.9655,12,4,20,0.5496294659671387
0.625,1.1125,12,4,20,0.5266340894516237
0.625,1.2819,12,4,20,0.5892493878902377
0.625,1.477,12,4,20,0.572593261039044
0.625,1.7019,12,4,20,0.5564733400349101
0.625,1.961,12,4,20,0.5150966694614877
0.625,2.2596,12,4,20,0.5170501082171891
0.625,2.6036,12,4,20,0.487216812785044
0.625,3.0,12,4,20,0.5801248954922172
0.6667,0.1,13,3,19,0.7989920070395972
0.6667,0.1152,13,3,19,0.7132237670605002
0.6667,0.1328,13,3,19,0.6423610052561046
0.6667,0.153,13,3,19,0.6718285439390813
0.6667,0.1763,13,3,19,0.655423554779604
0.6667,0.2031,13,3,19,0.7013324899852414
0.6667,0.234,13,3,19,0.614865925513225
0.6667,0.2697,13,3,19,0.5957891437767598
0.6667,0.3107,13,3,19,0.6286012221460798
0.6667,0.358,13,3,19,0.6390071793020038
0.6667,0.4125,13,3,19,0.5505214078236391
0.6667,0.4754,13,3,19,0.5404500202036826
0.6667,0.5477,13,3,19,0.5394251109760223
0.6667,0.6311,13,3,19,0.5710041633092956
0.6667,0.7272,13,3,19,0.5356694212969516
0.6667,0.8379,13,3,19,0.5074398588126167
0.6667,0.9655,13,3,19,0.5060281020173968
0.6667,1.1125,13,3,19,0.547088512589354
0.6667,1.2819,13,3,19,0.5651631150949001
0.6667,1.477,13,3,19,0.5053026981039439
0.6667,1.7019,13,3,19,0.5314590328099215
0.6667,1.961,13,3,19,0.5438896403351171
0.6667,2.2596,13,3,19,0.5350029473751744
0.6667,2.6036,13,3,19,0.4981822036017273
0.6667,3.0,13,3,19,0.5069666475030795
0.7083,0.1,14,3,20,0.7752510613380178
0.7083,0.1152,14,3,20,0.7024851449836141
0.7083,0.1328,14,3,20,0.6296992222451648
0.7083,0.153,14,3,20,0.676756098031276
0.7083,0.1763,14,3,20,0.6493682110821933
0.7083,0.2031,14,3,20,0.6482563186262192
0.7083,0.234,14,3,20,0.6310084541062801
0.7083,0.2697,14,3,20,0.6307324267546381
0.7083,0.3107,14,3,20,0.6264434672815594
0.7083,0.358,14,3,20,0.62032814348265
0.7083,0.4125,14,3,20,0.551753367637056
0.7083,0.4754,14,3,20,0.5871513792857321
0.7083,0.5477,14,3,20,0.5879804659505322
0.7083,0.6311,14,3,20,0.5600400837816274
0.7083,0.7272,14,3,20,0.5756149859103076
0.7083,0.8379,14,3,20,0.5269174686744938
0.7083,0.9655,14,3,20,0.4931445665011706
0.7083,1.1125,14,3,20,0.5580398131157899
0.7083,1.2819,14,3,20,0.5701056440280667
0.7083,1.477,14,3,20,0.5004830917874397
0.7083,1.7019,14,3,20,0.5497806386446933
0.7083,1.961,14,3,20,0.5500289800493444
0.7083,2.2596,14,3,20,0.523844858981089
0.7083,2.6036,14,3,20,0.5006356989058254
0.7083,3.0,14,3,20,0.5167810831426393
0.75,0.1,15,2,19,0.7527090989586895
0.75,0.1152,15,2,19,0.6978704420125036
0.75,0.1328,15,2,19,0.7263372563671462
0.75,0.153,15,2,19,0.6696527410516916
0.75,0.1763,15,2,19,0.6689397637105454
0.75,0.2031,15,2,19,0.6263014166239973
0.75,0.234,15,2,19,0.7003213178437502
0.75,0.2697,15,2,19,0.6099176372039588
0.75,0.3107,15,2,19,0.6120227870242523
0.75,0.358,15,2,19,0.5989718441317993
0.75,0.4125,15,2,19,0.5832007578358971
0.75,0.4754,15,2,19,0.5523628757359776
0.75,0.5477,15,2,19,0.5460362992551223
0.75,0.6311,15,2,19,0.578677813063398
0.75,0.7272,15,2,19,0.5826944551021227
0.75,0.8379,15,2,19,0.5143319959488668
0.75,0.9655,15,2,19,0.4760770348544958
0.75,1.1125,15,2,19,0.5362690428812362
0.75,1.2819,15,2,19,0.5526294322725976
0.75,1.477,15,2,19,0.5493699460489099
0.75,1.7019,15,2,19,0.5720676361693194
