cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
7688,11100001,NAND,0,1,1,2313,defector,8.4,48,55.235,185.071,2,500,250,100,0.3,,,,
7689,10010000,XOR,1,0,1,2313,cooperator,8.4,48,36.337,185.838,2,500,250,100,0.3,,,,
7690,10110010,XOR,1,0,1,2313,cooperator,8.4,48,47.784,162.492,2,500,250,100,0.3,,,,
7691,10101001,XOR,0,1,1,2315,defector,6.825,39,161.668,18.924,2,500,250,100,0.3,,,,
7692,11001110,NAND,0,0,0,-1,lone,7.8,39,248.233,56.497,2,500,250,100,0.3,,,,
7693,01100000,OR,0,1,1,2314,defector,6.825,39,41.968,135.826,2,500,250,100,0.3,,,,
7694,10101010,XOR,0,1,1,2314,defector,6.825,39,40.917,154.184,2,500,250,100,0.3,,,,
7695,01100110,OR,0,1,1,2314,defector,6.825,39,24.152,154.217,2,500,250,100,0.3,,,,
7696,00100000,AND,0,1,1,2314,defector,6.825,39,14.009,147.584,2,500,250,100,0.3,,,,
7697,01000011,OR,0,0,0,2314,defector,7.8,39,15.015,135.006,2,500,250,100,0.3,,,,
7698,11001100,NAND,0,0,0,2314,defector,7.8,39,33.922,144.24,2,500,250,100,0.3,,,,
7699,01101011,OR,0,1,1,2314,defector,6.825,39,32.546,128.115,2,500,250,100,0.3,,,,
7700,01100001,OR,0,1,1,-1,lone,6.65,38,0.55,166.232,2,500,250,100,0.3,,,,
7704,00000100,AND,0,0,0,-1,lone,6.8,34,116.12,132.519,2,500,250,100,0.3,,,,
7705,10001000,XOR,0,0,0,-1,lone,6.6,33,145.892,122.432,2,500,250,100,0.3,,,,
7706,10100011,XOR,0,1,1,-1,lone,4.9,28,189.993,1.987,2,500,250,100,0.3,,,,
7707,11000110,NAND,0,0,0,-1,lone,5.6,28,236.942,14.553,2,500,250,100,0.3,,,,
7708,10100000,XOR,0,1,1,2317,defector,4.9,28,130.128,53.581,2,500,250,100,0.3,,,,
7709,10100011,XOR,0,1,1,2317,defector,4.9,28,120.555,62.944,2,500,250,100,0.3,,,,
7710,00010010,AND,1,0,1,2317,cooperator,4.9,28,106.165,41.508,2,500,250,100,0.3,,,,
7711,01110011,OR,1,0,1,2317,cooperator,4.9,28,121.753,45.798,2,500,250,100,0.3,,,,
7712,01000001,OR,0,0,0,-1,lone,4.8,24,139.572,110.078,2,500,250,100,0.3,,,,
7713,11000011,NAND,0,0,0,-1,lone,3.8,19,236.365,69.531,2,500,250,100,0.3,,,,
7714,11001110,NAND,0,0,0,-1,lone,3.6,18,131.032,234.536,2,500,250,100,0.3,,,,
7715,00110010,AND,1,0,1,2318,cooperator,2.975,17,187.628,48.453,2,500,250,100,0.3,,,,
7716,11101000,NAND,0,1,1,2318,defector,2.975,17,177.695,64.491,2,500,250,100,0.3,,,,
7717,00001010,AND,0,0,0,2318,defector,3.4,17,172.911,47.033,2,500,250,100,0.3,,,,
7718,11110011,NAND,1,0,1,2319,cooperator,2.1,12,201.368,158.703,2,500,250,100,0.3,,,,
7719,01010000,OR,1,0,1,2319,cooperator,2.1,12,185.692,165.559,2,500,250,100,0.3,,,,
7720,10110011,XOR,1,0,1,2319,cooperator,2.1,12,173.859,157.228,2,500,250,100,0.3,,,,
7721,10100111,XOR,0,1,1,2319,defector,2.1,12,188.234,144.983,2,500,250,100,0.3,,,,
7722,00100000,AND,0,1,1,2320,defector,1.225,7,133.924,184.709,2,500,250,100,0.3,,,,
7723,00010100,AND,1,0,1,2320,cooperator,1.225,7,118.048,198.149,2,500,250,100,0.3,,,,
7724,00100110,AND,0,1,1,2320,defector,1.225,7,110.572,181.273,2,500,250,100,0.3,,,,
7725,01100111,OR,0,1,1,2320,defector,1.225,7,125.873,173.255,2,500,250,100,0.3,,,,
7726,01110000,OR,1,0,1,2321,cooperator,1.05,6,197.101,247.335,2,500,250,100,0.3,,,,
7727,10100010,XOR,0,1,1,2321,defector,1.05,6,178.044,247.935,2,500,250,100,0.3,,,,
7728,10000000,XOR,0,0,0,2321,defector,1.2,6,183.801,237.881,2,500,250,100,0.3,,,,
7729,01011001,OR,1,0,1,2323,cooperator,0.875,5,7.989,218.569,2,500,250,100,0.3,,,,
