mutation_rate,task_flip_period,multicellular_pct
0.002110567125372157,23,0.08129019799046065
0.002110567125372157,28,0.09128064201411296
0.002110567125372157,34,0.0969112678204113
0.002110567125372157,41,0.11951043685402958
0.002110567125372157,49,0.14966957903661712
0.002110567125372157,60,0.09835043462946329
0.002110567125372157,73,0.09491491535000977
0.002110567125372157,88,0.10884905487040618
0.002110567125372157,107,0.14000264340655608
0.002110567125372157,130,0.16427015207797804
0.002110567125372157,158,0.06473553221411195
0.002110567125372157,191,0.11658446810534255
0.002110567125372157,232,0.049451417865178
0.002110567125372157,281,0.07315682760662158
0.002110567125372157,340,0.14706155741623014
0.002110567125372157,412,0.05808500511530328
0.002110567125372157,499,0.04800576959708957
0.0036463323686085542,5,0.0366601562920503
0.0036463323686085542,6,0.03260205410261282
0.0036463323686085542,7,0.04052431616009591
0.0036463323686085542,8,0.03948815204211711
0.0036463323686085542,10,0.0603089024747575
0.0036463323686085542,13,0.05303174368354471
0.0036463323686085542,15,0.04835881003607486
0.0036463323686085542,19,0.058686631354673426
0.0036463323686085542,23,0.0743181852854188
0.0036463323686085542,28,0.0557506216031959
0.0036463323686085542,34,0.10841972461975156
0.0036463323686085542,41,0.10500444579894541
0.0036463323686085542,49,0.2227015856756335
0.0036463323686085542,60,0.09706194669064268
0.0036463323686085542,73,0.09150989951383681
0.0036463323686085542,88,0.08047863465833692
0.0036463323686085542,107,0.08045238236839918
0.0036463323686085542,130,0.11636637016111025
0.0036463323686085542,158,0.08131738408383496
0.0036463323686085542,191,0.10057048421843473
0.0036463323686085542,232,0.05390846610170955
0.0036463323686085542,281,0.07000752343234597
0.0036463323686085542,340,0.08910521583670696
0.0036463323686085542,412,0.07424181513416868
0.0036463323686085542,499,0.04670978535241719
0.006299605249474363,5,0.03582654326631487
0.006299605249474363,6,0.03197627568542447
0.006299605249474363,7,0.03999184393458854
0.006299605249474363,8,0.03945380529374477
0.006299605249474363,10,0.04665565418456774
0.006299605249474363,13,0.04836131812961209
0.006299605249474363,15,0.0661926213277323
0.006299605249474363,19,0.06629833273465492
0.006299605249474363,23,0.10510763869717925
0.006299605249474363,28,0.060984066784457606
0.006299605249474363,34,0.11382580315126527
0.006299605249474363,41,0.1096033519867498
0.006299605249474363,49,0.15989797670397635
0.006299605249474363,60,0.11471130171325457
0.006299605249474363,73,0.06331969175050074
0.006299605249474363,88,0.10480409004177312
0.006299605249474363,107,0.12524619262083947
0.006299605249474363,130,0.1409922748611799
0.006299605249474363,158,0.11845686837485085
0.006299605249474363,191,0.09030064219761559
0.006299605249474363,232,0.05677162190702978
0.006299605249474363,281,0.05099100025417044
0.006299605249474363,340,0.056336663491135745
0.006299605249474363,412,0.05103547684877279
0.006299605249474363,499,0.04788706369425529
0.010883546064219268,5,0.03489822531725592
0.010883546064219268,6,0.03227820685291471
0.010883546064219268,7,0.04043927313875804
0.010883546064219268,8,0.03875335373166141
0.010883546064219268,10,0.04647640514360583
0.010883546064219268,13,0.042535683929434576
0.010883546064219268,15,0.05904445470550356
0.010883546064219268,19,0.0780698691918232
0.010883546064219268,23,0.089162511114064
0.010883546064219268,28,0.07195778899206733
0.010883546064219268,34,0.11376217150030894
0.010883546064219268,41,0.10368312681396848
0.010883546064219268,49,0.13755740894285348
0.010883546064219268,60,0.10287425906670374
0.010883546064219268,73,0.08537546679865528
0.010883546064219268,88,0.11399909954520848
0.010883546064219268,107,0.09782996969449469
0.010883546064219268,130,0.10730703050801767
0.010883546064219268,158,0.10335822167501514
0.010883546064219268,191,0.07127212841861164
0.010883546064219268,232,0.06443593340040375
0.010883546064219268,281,0.07131385572924166
0.010883546064219268,340,0.06719066764480004
0.010883546064219268,412,0.0482306641554044
0.010883546064219268,499,0.045634899409315886
0.018803015465431967,5,0.03985121696450209
0.018803015465431967,6,0.03639328408830492
0.018803015465431967,7,0.034296229257116596
0.018803015465431967,8,0.038766266958336244
0.018803015465431967,10,0.04771719341669863
0.018803015465431967,13,0.048866394809911
0.018803015465431967,15,0.04397690838884629
0.018803015465431967,19,0.05534718303485775
0.018803015465431967,23,0.06930934951771893
0.018803015465431967,28,0.07806719466700708
0.018803015465431967,34,0.09617682195454275
0.018803015465431967,41,0.0792302664501881
0.018803015465431967,49,0.14728037389569845
0.018803015465431967,60,0.0833904348912509
0.018803015465431967,73,0.08367732110740513
0.018803015465431967,88,0.1137877171765052
0.018803015465431967,107,0.06775158005020075
0.018803015465431967,130,0.10291507148733274
0.018803015465431967,158,0.05685056617920859
0.018803015465431967,191,0.06118797612623406
0.018803015465431967,232,0.07301358505074834
0.018803015465431967,281,0.07784373616410238
0.018803015465431967,340,0.0949471892750448
0.018803015465431967,412,0.04379235224703123
0.018803015465431967,499,0.04384975689037671
0.03248512833106983,5,0.0335831464099263
0.03248512833106983,6,0.029134825598328595
0.03248512833106983,7,0.03671436053862564
0.03248512833106983,8,0.034405485415534676
0.03248512833106983,10,0.04255551988229741
0.03248512833106983,13,0.047855938244708705
0.03248512833106983,15,0.05332981976867854
0.03248512833106983,19,0.051689622895999904
0.03248512833106983,23,0.08208150161313578
0.03248512833106983,28,0.0630643454914433
0.03248512833106983,34,0.07577244594090558
0.03248512833106983,41,0.09159481026409248
0.03248512833106983,49,0.11541820914693716
0.03248512833106983,60,0.06841763198430718
0.03248512833106983,73,0.0727081087600819
0.03248512833106983,88,0.08263948488163196
0.03248512833106983,107,0.1429869491719559
0.03248512833106983,130,0.10053109401343123
0.03248512833106983,158,0.08104013300556
0.03248512833106983,191,0.06774007452538329
0.03248512833106983,232,0.05063838683698132
0.03248512833106983,281,0.06843214465069482
0.03248512833106983,340,0.05743717474964007
0.03248512833106983,412,0.046152739288773385
0.03248512833106983,499,0.04441194404010995
0.056123102415468605,5,0.037498998494866154
0.056123102415468605,6,0.0384499098858547
0.056123102415468605,7,0.04017113842733345
0.056123102415468605,8,0.04175176801276608
0.056123102415468605,10,0.049124722611921086
0.056123102415468605,13,0.04763300897068731
0.056123102415468605,15,0.052279763113924536
0.056123102415468605,19,0.05811777568822064
0.056123102415468605,23,0.06270924956280087
0.056123102415468605,28,0.05102562899512028
0.056123102415468605,34,0.0843603137465519
0.056123102415468605,41,0.08772734982640774
0.056123102415468605,49,0.1257779620072488
0.056123102415468605,60,0.07505571845695917
0.056123102415468605,73,0.07275011420561013
0.056123102415468605,88,0.09681399565505644
0.056123102415468605,107,0.08432638328624503
0.056123102415468605,130,0.10062373659512791
0.056123102415468605,158,0.04294496938607789
0.056123102415468605,191,0.0684073706730754
0.056123102415468605,232,0.10379312681684942
0.056123102415468605,281,0.08299728400366177
0.056123102415468605,340,0.0771138835477302
0.056123102415468605,412,0.04858188257797391
0.056123102415468605,499,0.04233793171350353
0.09696137237434288,5,0.035152864689501954
0.09696137237434288,6,0.036852179531248065
0.09696137237434288,7,0.04285393536069738
0.09696137237434288,8,0.04214804370998712
0.09696137237434288,10,0.04812181502254454
0.09696137237434288,13,0.044619524719127425
0.09696137237434288,15,0.05088376933133271
0.09696137237434288,19,0.05188116581742001
0.09696137237434288,23,0.06393722891952575
0.09696137237434288,28,0.05554070102731126
0.09696137237434288,34,0.07653844500218165
0.09696137237434288,41,0.08220560202246956
0.09696137237434288,49,0.07415919520824771
0.09696137237434288,60,0.07407517279322046
0.09696137237434288,73,0.061588873884801755
0.09696137237434288,88,0.08855943025843054
0.09696137237434288,107,0.055524619774870575
0.09696137237434288,130,0.06962360373334706
0.09696137237434288,158,0.08556911739261945
0.09696137237434288,191,0.07023713034299645
0.09696137237434288,232,0.08469944823148319
0.09696137237434288,281,0.06214346771037515
0.09696137237434288,340,0.07064510269321629
0.09696137237434288,412,0.056509429327852086
0.09696137237434288,499,0.04891561478377598
0.1675158237532629,5,0.04202402290768129
0.1675158237532629,6,0.043085430239724866
0.1675158237532629,7,0.04343673801307788
0.1675158237532629,8,0.04856571085784469
0.1675158237532629,10,0.05093242806840601
0.1675158237532629,13,0.05443120180551395
0.1675158237532629,15,0.04788068871657808
0.1675158237532629,19,0.0593328642675314
0.1675158237532629,23,0.06437955146170248
0.1675158237532629,28,0.05114180865167512
0.1675158237532629,34,0.07723876964416379
0.1675158237532629,41,0.07774098915024698
0.1675158237532629,49,0.09222571898628236
0.1675158237532629,60,0.05950224098946383
0.1675158237532629,73,0.06341438512162252
0.1675158237532629,88,0.06452605747081423
0.1675158237532629,107,0.060630689848836315
0.1675158237532629,130,0.055706752026180036
0.1675158237532629,158,0.06163712206922086
0.1675158237532629,191,0.06320341721744493
0.1675158237532629,232,0.06314394403914055
0.1675158237532629,281,0.0853726823298712
0.1675158237532629,340,0.06484527810783701
0.1675158237532629,412,0.060651364997457574
0.1675158237532629,499,0.057861205165181895
0.28940959188774557,5,0.055485311401067126
0.28940959188774557,6,0.05266319719917425
0.28940959188774557,7,0.05529876085779171
0.28940959188774557,8,0.05464306175478558
0.28940959188774557,10,0.05847573392060922
0.28940959188774557,13,0.06276767356175464
0.28940959188774557,15,0.0634539412517437
0.28940959188774557,19,0.05951938760071543
0.28940959188774557,23,0.06854102904714841
0.28940959188774557,28,0.07122666269291938
0.28940959188774557,34,0.07398431071389268
0.28940959188774557,41,0.08304123782283097
0.28940959188774557,49,0.0848209634467854
0.28940959188774557,60,0.06231253729215395
0.28940959188774557,73,0.07190566208850607
0.28940959188774557,88,0.08493693189118445
0.28940959188774557,107,0.07159723808532235
0.28940959188774557,130,0.08106776350160871
0.28940959188774557,158,0.07730240771428301
0.28940959188774557,191,0.07928199780023137
0.28940959188774557,232,0.07174020933302494
0.28940959188774557,281,0.08504218426095896
0.28940959188774557,340,0.06852198200728292
0.28940959188774557,412,0.0774657404696702
0.28940959188774557,499,0.0741688349995527
0.5,5,0.06768288245813622
0.5,6,0.06904146610900874
0.5,7,0.06851256928196033
0.5,8,0.07201426803433776
0.5,10,0.07147138788364725
0.5,13,0.07000946376457041
0.5,15,0.07249793630947689
0.5,19,0.08006399098269314
0.5,23,0.08095979569433152
0.5,28,0.08049530134490372
0.5,34,0.0763356641980873
0.5,41,0.08444499338236999
0.5,49,0.06555905303426078
0.5,60,0.08375152241482908
0.5,73,0.08524471227820896
0.5,88,0.09162870657157517
0.5,107,0.09468872413831136
0.5,130,0.08577042476213892
0.5,158,0.08494058723719218
0.5,191,0.09160510751300131
0.5,232,0.08033712051859647
0.5,281,0.0812392612996836
0.5,340,0.09331947610397012
0.5,412,0.09352008670655519
0.5,499,0.09795046888421573
