tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale
300,111,52,59,26,2.269230769230769,54,5,48.648648648648646,4.504504504504505,70.27027027027027,40.59684684684678,-0.04158639328203345,-0.04928500254537624,0.1257149974546232,0.17499999999999943,0.17499999999999918,0.16845930232558212,0.1298916925855873,0.17147808586762076,2,700,250,100,0.005,,0.05
350,114,51,63,31,2.032258064516129,52,11,45.6140350877193,9.649122807017545,66.66666666666667,44.97478070175427,-0.03473066779303838,-0.014231455408108523,0.13286288864514675,0.14709434405325528,0.1749999999999989,0.1657036703820337,0.13534774593862606,0.17007841373166444,2,700,250,100,0.005,,0.05
400,119,50,69,35,1.9714285714285715,54,15,45.378151260504204,12.605042016806722,65.54621848739495,50.61323529411748,-0.033715799757960574,-0.00392570573401671,0.13721840024962498,0.1411441059836417,0.17499999999999868,0.16882233518767276,0.13807181453962863,0.1717876142975892,2,700,250,100,0.005,,0.05
450,122,50,72,37,1.945945945945946,57,15,46.721311475409834,12.295081967213115,66.39344262295081,57.512704918032554,-0.03792199357716458,-0.014392786940019858,0.13219836379616084,0.1465911507361807,0.17499999999999852,0.17138241279326338,0.13519686107533166,0.17311885465249624,2,700,250,100,0.005,,0.05
500,126,51,75,40,1.875,58,17,46.03174603174603,13.492063492063492,65.07936507936508,61.977380952380656,-0.032661140918467474,-0.016984052704058228,0.1363855847419507,0.15336963744600893,0.17499999999999838,0.17102661696075108,0.1402353033548706,0.17289644427333808,2,700,250,100,0.005,,0.05
550,61,15,46,26,1.7692307692307692,34,12,55.73770491803279,19.672131147540984,55.73770491803279,24.983196721311412,-0.03501257146744864,-0.07880279187309887,0.07768944448126443,0.1564922363543633,0.0,0.13325926600256494,0.0982466945351163,0.13325926600256494,2,700,250,100,0.005,,0.05
600,54,15,39,25,1.56,27,12,50.0,22.22222222222222,50.0,35.65648148148136,-0.021919509200030315,-0.056491878865294304,0.1021618781829578,0.1586537570482521,0.0,0.14146350395692484,0.11954399475689452,0.14146350395692484,2,700,250,100,0.005,,0.05
650,56,15,41,27,1.5185185185185186,26,15,46.42857142857143,26.785714285714285,46.42857142857143,30.255357142857065,-0.030558484764252367,-0.0730938617177541,0.07877969999811858,0.15187356171587268,0.0,0.13607984148837854,0.10552135672412617,0.13607984148837854,2,700,250,100,0.005,,0.05
0,100,62,38,12,3.1666666666666665,38,0,38.0,0.0,71.0,0.1685,-0.03408319185059425,0.14736842105263157,0.14736842105263157,0.0,0.17500000000000002,0.18879310344827588,0.14736842105263157,0.1814516129032258,0,700,250,100,0.005,,0.1
50,104,53,51,16,3.1875,47,4,45.19230769230769,3.8461538461538463,72.11538461538461,8.113605769230766,-0.03464636242954447,0.014131727158948643,0.1490091781393408,0.13487745098039217,0.17499999999999996,0.19099999999999995,0.14790080738177624,0.18254716981132071,0,700,250,100,0.005,,0.1
