tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha
250,360,53,307,96,3.1979166666666665,297,10,82.5,2.7777777777777777,88.88888888888889,32.27791666666663,0.1295114289929393,0.160902869241457,0.3072474907554012,0.1463446215139442,0.17499999999999966,0.17057436918990757,0.3020063549494906,0.17249492595655128,1,500,250,100,0.005,,,0.1
300,522,50,472,144,3.2777777777777777,459,13,87.93103448275862,2.4904214559386975,91.7624521072797,34.177538314176196,0.12512000053495853,0.14903975704026318,0.30342258351611284,0.15438282647584967,0.1749999999999992,0.17366279069767523,0.2993176749535633,0.1741976744186048,1,500,250,100,0.005,,,0.1
350,835,24,811,242,3.3512396694214877,778,33,93.17365269461078,3.9520958083832336,93.77245508982035,32.29105389221551,0.09952650002237676,0.1437336986119841,0.29143575690227774,0.14770205829029365,0.1749999999999989,0.1889713600239928,0.28558716004137086,0.1860606600189941,1,500,250,100,0.005,,,0.1
400,1309,19,1290,380,3.3947368421052633,1253,37,95.72192513368984,2.826585179526356,95.87471352177235,31.52111026228668,0.08973920867930527,0.13789311668451143,0.29106270362133874,0.1531695869368273,0.17499999999999868,0.20000000000000148,0.28710762973193804,0.19736842105263278,1,500,250,100,0.005,,,0.1
450,2021,19,2002,585,3.422222222222222,1954,48,96.6848095002474,2.375061850569025,96.78377041068778,31.41170212765953,0.08380244622213906,0.13195074543188898,0.2843345215109012,0.15238377607901224,0.17499999999999852,0.20000000000000165,0.2811708672747719,0.19736842105263286,1,500,250,100,0.005,,,0.1
0,100,55,45,15,3.0,42,3,42.0,3.0,72.0,0.19675000000000004,0.03419191919191927,0.04345238095238099,0.218452380952381,0.17500000000000002,0.17499999999999996,0.18900000000000003,0.21555555555555567,0.1813636363636364,2,500,250,100,0.005,,,0.1
50,114,46,68,19,3.5789473684210527,63,5,55.26315789473684,4.385964912280702,75.43859649122807,7.884649122807018,0.004055087508149119,0.015700591347650228,0.18781823840647377,0.17211764705882354,0.17499999999999993,0.19021739130434775,0.18666378316032303,0.1826086956521739,2,500,250,100,0.005,,,0.1
100,123,46,77,21,3.6666666666666665,71,6,57.72357723577236,4.878048780487805,76.42276422764228,16.190406504065056,0.0005287609506292312,0.036528378189931515,0.18598382373448621,0.1494554455445547,0.17500000000000032,0.1902173913043477,0.18313745660280323,0.182608695652174,2,500,250,100,0.005,,,0.1
150,148,46,102,28,3.642857142857143,96,6,64.86486486486487,4.054054054054054,80.4054054054054,22.60858108108109,0.052944154627010465,0.0912869067328915,0.2409226683222958,0.1496357615894043,0.1750000000000004,0.19021739130434767,0.23555285027918454,0.18260869565217408,2,500,250,100,0.005,,,0.1
200,196,46,150,41,3.658536585365854,138,12,70.40816326530613,6.122448979591836,82.14285714285714,25.689107142857146,0.06466895855172283,0.11983895184057403,0.2477797606172038,0.12794080877662978,0.1750000000000002,0.17204737183646995,0.2381926444699579,0.17352368591823505,2,500,250,100,0.005,,,0.1
250,254,43,211,57,3.7017543859649122,192,19,75.59055118110236,7.480314960629921,84.25196850393701,30.322401574803123,0.07644712218429234,0.12551405363413912,0.26310604822885963,0.13759199459472052,0.17499999999999966,0.17573041168658754,0.25180383486843955,0.1753567126841472,2,500,250,100,0.005,,,0.1
300,373,41,332,85,3.9058823529411764,308,24,82.57372654155496,6.434316353887399,88.20375335120643,31.384092940125072,0.08386904089181876,0.1341643768508281,0.2725665361137369,0.13840215926290877,0.17499999999999924,0.18319767441860546,0.2628679064618698,0.17899886557005104,2,500,250,100,0.005,,,0.1
350,599,27,572,137,4.175182481751825,537,35,89.64941569282136,5.843071786310517,91.48580968280467,29.392612687812978,0.07684624916515798,0.1280813606528408,0.2670407527163083,0.1389593920634675,0.1749999999999989,0.18741554054054171,0.25920360652251556,0.18235735735735759,2,500,250,100,0.005,,,0.1
400,913,21,892,208,4.288461538461538,852,40,93.31872946330778,4.381161007667032,93.97590361445783,29.655058415480056,0.06956300115078595,0.12320472492240572,0.2667545433745118,0.1435498184521061,0.17499999999999868,0.19833333333333472,0.2612296678174532,0.19166666666666726,2,500,250,100,0.005,,,0.1
450,1387,15,1372,313,4.383386581469648,1320,52,95.16943042537851,3.749098774333093,95.24152847873107,30.27529440038448,0.06582046219548496,0.1225300772024017,0.2687977926239545,0.14626771542155279,0.17499999999999852,0.2000000000000016,0.2641537955288197,0.19833333333333472,2,500,250,100,0.005,,,0.1
0,100,62,38,12,3.1666666666666665,38,0,38.0,0.0,71.0,0.20125,0.04997877758913413,0.23223684210526319,0.23223684210526319,0.0,0.17500000000000002,0.19051724137931036,0.23223684210526319,0.18225806451612905,0,500,250,100,0.005,,,0.25
